dv_requested_item,category_item,segment_,mrc_description_entity_,legal_entity_description_entity_,goc___coe_dri_approval_,location_,do_you_require_a_server_within_dmz_ice_environment_,quantity_of_application_servers_,quantity_of_databases_,request_type_,app_upgrade_,what_is_your_application_name_,database_version_,database_size_,additional_database_space_,non_standard_settings_,db_request_type_,db_size_,db_server_type_,db_server_count_,additional_instructions_,character_set,national_character_set,block_size__kb_,select_required_collation_settings,do_you_need_a_replicated_copy_of_database_,additional_information,os_version,db_blueprint,edition,db_patch_level,source_order_guide,dv_category,dv_subcategory,dv_u_used_for,dv_u_status_reason,dv_u_criticality,dv_u_application_lifecycle,dv_u_type,dv_u_primary_sector,dv_u_coe,dv_u_primary_product_line,dv_u_ci_regions,dv_u_number_of_users,dv_u_externally_hosted,dv_u_owning_company,dv_u_sox,dv_u_pci,dv_u_gxp,dv_u_gxp_part11_annex11,dv_u_legal_hold,dv_u_samd,dv_u_privacy_classification,dv_u_data_classification,dv_u_darm,dv_u_dr_enabled
RITM000012870266,SDDC database 1,NULL,Janssen Pharmaceuticals,"JANSSEN SUPPLY GROUP, LLC",Pharma,EMEA enterprise data center,No,0,1,New application,NULL,(PPIL QDA) QUALITY DATA ANALYSIS - QA,SQL 2012 Standard Edition,Small,NULL,NULL,Standard,Small,Windows,1,Please provide SQL Server  2012 Standard Edition.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Non-Critical,Maintain,Server,Pharma,JSC Make,Supply Chain,EMEA,100-999,false,Janssen Belgium,false,false,false,false,false,false,NULL,NULL,false,false
RITM000012559192,SDDC database 1,Shared Services,J&J World Headquarters,NULL,NULL,NULL,No,NULL,1,NULL,No,NULL,NULL,Medium,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Training,Transformed,Critical,Core Rising,Server,Consumer,GPIQ-R&D,R&D,"NA, EMEA, ASPAC","1,000-9,999",false,J&J Consumer Prod US,false,false,true,false,false,false,NULL,NULL,false,false
RITM000012995349,SDDC database 1,Global Technology Services,J&J World Headquarters,"W130 JOHNSON & JOHNSON SERVICES,",GTS,NA enterprise data center,No,0,1,Base business,NULL,ITSS DB MANAGEMENT CONTROL,Oracle 12c Enterprise Edition,Small,100,NULL,Custom,Small,Linux,1,"Character set US7ASCII
DO NOT PROVISION - THIS IS A TEST
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,NULL,Non-Critical,NULL,Website,Corporate,ITSS,None Assigned,GLOBAL,1-99,false,ITS - Global,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013213887,SDDC database 1,Global Technology Services,Advanced Steril Prod USA,CILAG ADVANCED TECHNOLOGIES GMBH,Medical devices,NA enterprise data center,No,0,1,SDDC factory migration,No,DIMENSIONS,Oracle 11g Enterprise Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,Transformed,Non-Critical,Maintain,Server,Medical Devices,NA,R&D_PLM,NA,1-99,false,Adv Steril Prod,false,false,false,false,false,false,Personal Data Type 1,NULL,false,false
RITM000012684444,SDDC database 1,Shared Services,J&J Medical Singapore,NULL,NULL,ASPAC enterprise data center,No,0,1,SDDC factory migration,No,NA TP/A&CP QA,SQL 2008 Standard Edition,Small,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Non-Critical,Maintain,Server,Consumer,Sales,Sales & Customer Development,ASPAC,100-999,false,J&J Korea,false,false,false,false,false,false,NULL,NULL,false,false
RITM000012704637,SDDC database 1,Pharma,Janssen Pharmaceuticals,"P150 JANSSEN PHARMACEUTICALS, INC.",Pharma,NA enterprise data center,No,0,1,Base business,NULL,MANUFACTURING EXECUTION SERVICE JSC F/F AIL COE DEV,SQL 2012 Standard Edition,Medium,NULL,NULL,Standard,Medium,Windows,1,"DEVELOPMENT
SQL SERVER
SQL 2012 SP2
STANDARD
WINDOWS 2012 R2
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,Non-Critical,NULL,Server,Pharma,JSC Make,Supply Chain,"ASPAC, NA",1-99,false,Janssen Pharmaceuticals,false,false,false,false,false,false,NULL,NULL,false,false
RITM000014214327,SDDC database 1,Consumer Medical Devices,Vistakon USA,"JOHNSON & JOHNSON VISION CARE, INC.",Consumer medical tech (CMT),NA enterprise data center,No,1,1,Organic Growth,NULL,MASS AUTO-SAVE,SQL 2014 Enterprise Edition,Medium,Same as current server (VISUSJAAPPS31),NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,No,These 2 servers are replacement servers for current WIN2003 server (VISUSJAAPPS31). All the sizing needs should satisfy the current WIN2003 server.,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,NULL,Sensitive,Maintain,Server,Consumer,SC Make,Supply Chain,NA,1-99,false,Vistakon USA,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013492588,SDDC database 1,Corporate,J&J World Headquarters,W125 JOHNSON & JOHNSON,Corporate (ETCS),EMEA enterprise data center,No,0,1,Organic Growth,NULL,KRONOS WFM - COE - EMEA - QA,SQL 2012 Standard Edition,Medium,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,QA,NULL,Sensitive,Maintain,Server,Corporate,ITHR,Total Rewards & Payroll,EMEA,"1,000-9,999",false,JJ World Headqtrs US,false,false,false,false,false,false,NULL,NULL,false,false
RITM000012509273,SDDC database 1,Consumer,NULL,NULL,Consumer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SQL 2012 Enterprise Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RITM000013264135,SDDC database 1,Global Technology Services,Janssen Belgium,JANSSEN PHARMACEUTICA NV,Pharma,EMEA enterprise data center,No,0,1,SDDC Factory Migration,Yes,MYPRICE GLOBAL PRICING APPLICATION,Oracle 12c Enterprise Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,NULL,Non-Critical,Maintain,Website,Pharma,Comm NA,Finance & Deliver ERP investments,GLOBAL,100-999,false,Janssen R&D US,false,false,false,false,true,false,NULL,NULL,false,false
RITM000013801358,SDDC database 1,Global Technology Services,J&J World Headquarters,W105 ALBANY STREET LLC,Corporate (ETCS),NA enterprise data center,No,0,1,SDDC Factory Migration,No,INTELLECTUAL PROPERTY DATA WAREHOUSE,Oracle 11g Enterprise Edition,Small,0,NULL,Standard,NULL,NULL,NULL,NULL,AL32UTF8,AL16UTF16,8,NULL,No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,Transformed,Non-Critical,Maintain,Server,Corporate,ITGF,LEGAL,"NA, EMEA",100-999,false,JJ World Headqtrs US,false,false,false,false,true,false,NULL,NULL,false,false
RITM000013702370,SDDC database 1,Global Technology Services,J&J HCS USA,"JOHNSON & JOHNSON GATEWAY, LLC",Supply chain (including HCS),NA enterprise data center,No,0,1,SDDC Factory Migration,Yes,INTEGRATED CONTRACTING SOLUTION DEV- ICS DEV,Oracle 12c Enterprise Edition,Large,0,We need only Server and No Database. Custom Database will be build as the Database will be used as Standby DB.,Custom,NULL,NULL,NULL,NULL,OTHER,OTHER,8,NULL,No,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Development,NULL,BCA,NULL,Server,Medical Devices,SC Deliver,Supply Chain,NA,100-999,false,J&J HCS USA,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013162320,SDDC database 1,Global Technology Services,Janssen R&D BE,JANSSEN PHARMACEUTICA NV,Pharma,EMEA enterprise data center,No,0,1,SDDC factory migration,No,GLOBAL ORDERING AND FULFILLMENT SYSTEM,Oracle 11g Enterprise Edition,Medium,150,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,NULL,Non-Critical,Maintain,Server,Pharma,R&D Research Discovery Sciences,R&D Lab Data Generation & Lab Innovation,"EMEA, NA",100-999,false,Janssen R&D BE,false,false,false,false,false,false,NULL,NULL,false,false
RITM000013254750,SDDC database 1,Global Technology Services,Janssen R&D US,"JANSSEN R&D, LLC",Pharma,NA enterprise data center,No,0,2,Organic Growth,NULL,PDMS PIMS US - STAGING,SQL 2012 Enterprise Edition,Medium,0,SQL AlwaysOn,Custom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Staging,NULL,Non-Critical,NULL,Platform,Pharma,R&D Development PDMS,R&D PDMS,NA,100-999,false,Janssen R&D US,false,false,true,false,false,false,NULL,NULL,false,false
RITM000013027785,SDDC database 1,Global Technology Services,Janssen Pharmaceuticals,P205 ORTHO-MCNEIL FINANCE CO.,Supply chain (including HCS),NA enterprise data center,No,0,1,SDDC factory migration,Yes,JSC MAXIMO COE-PROD,Oracle 12c Enterprise Edition,Large,1000,NULL,Standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Provision a hosting platform or database,Service,Application,Production,Transformed,Non-Critical,Maintaining,Server,Pharma,JSC General,Supply Chain,GLOBAL,"1,000-9,999",false,Janssen Pharmaceuticals,false,false,true,false,false,false,NULL,NULL,false,false
